"","siRNA","rupturing","total","rupturing_frequency","neg","NEG","POS","p"
"1","ADK",34,119,0.285714285714286,85,211,78,0.755569250100272
"2","ALOX5AP",39,260,0.15,221,211,78,0.000622102982359398
"3","ARHGAP18",33,159,0.207547169811321,126,211,78,0.160269194006895
"4","ARID4A",40,194,0.206185567010309,154,211,78,0.128518663201855
"5","ARRDC3",40,150,0.266666666666667,110,211,78,0.964039885639003
"6","ASAP3",17,75,0.226666666666667,58,211,78,0.509545018748405
"7","ATL2",40,162,0.246913580246914,122,211,78,0.629044978948622
"8","ATP9A",47,228,0.206140350877193,181,211,78,0.0953347416347071
"9","BANF1",65,208,0.3125,143,211,78,0.343083268065646
"10","BDH1",25,142,0.176056338028169,117,211,78,0.0330392498906419
"11","CAMSAP2",45,246,0.182926829268293,201,211,78,0.0173957255061608
"12","CARD8",16,104,0.153846153846154,88,211,78,0.0175106014409183
"13","CHST14",24,129,0.186046511627907,105,211,78,0.0680103360262528
"14","CNBP",46,206,0.223300970873786,160,211,78,0.342924310469924
"15","CPEB2",51,171,0.298245614035088,120,211,78,0.576018776552563
"16","CTCF",30,159,0.188679245283019,129,211,78,0.0589699724135467
"17","CTDNEP1",60,297,0.202020202020202,237,211,78,0.0557574890571642
"18","CTRL",78,289,0.269896193771626,211,211,78,1.00000000000005
"19","DAZAP1",31,82,0.378048780487805,51,211,78,0.0583828494385957
"20","DDX56",15,110,0.136363636363636,95,211,78,0.00483003002042588
"21","DIAPH3",35,140,0.25,105,211,78,0.734507373343589
"22","DNAH1",37,188,0.196808510638298,151,211,78,0.0712647732927067
"23","ECD",23,125,0.184,102,211,78,0.0637989913679588
"24","EIF1AX",7,43,0.162790697674419,36,211,78,0.136087504698831
"25","ELF2",18,94,0.191489361702128,76,211,78,0.129192236432317
"26","ELOVL1",38,132,0.287878787878788,94,211,78,0.755789235627343
"27","ERN1",22,204,0.107843137254902,182,211,78,1.005170985636e-05
"28","FAR1",21,97,0.216494845360825,76,211,78,0.329233965077335
"29","FHL1",20,104,0.192307692307692,84,211,78,0.132951746084341
"30","GOLGA1",53,174,0.304597701149425,121,211,78,0.46382690555902
"31","HDAC3",33,222,0.148648648648649,189,211,78,0.000977152748271213
"32","HNRNPU",21,105,0.2,84,211,78,0.166023810457249
"33","HSFX1",24,141,0.170212765957447,117,211,78,0.0237260623145496
"34","KAT8",31,147,0.210884353741497,116,211,78,0.181135946576989
"35","LEMD3",13,89,0.146067415730337,76,211,78,0.025549836265146
"36","LIMCH1",36,120,0.3,84,211,78,0.71861103963972
"37","LMNA",37,168,0.220238095238095,131,211,78,0.254770824608421
"38","LMNB1",58,229,0.253275109170306,171,211,78,0.678075326062916
"39","LNPK",27,120,0.225,93,211,78,0.368453111205065
"40","LY9",20,102,0.196078431372549,82,211,78,0.142646538385002
"41","MEN1",33,103,0.320388349514563,70,211,78,0.388544538566475
"42","MRPL43",32,132,0.242424242424242,100,211,78,0.602075920742703
"43","MSH2",38,153,0.248366013071895,115,211,78,0.637125957958438
"44","MYCBP2",22,95,0.231578947368421,73,211,78,0.582029836554264
"45","NDC1",54,252,0.214285714285714,198,211,78,0.160801934018329
"46","NDE1",19,70,0.271428571428571,51,211,78,0.999997054271063
"47","NEMP1",23,102,0.225490196078431,79,211,78,0.410875592820666
"48","NF2",26,116,0.224137931034483,90,211,78,0.358925192096345
"49","NHS",35,187,0.18716577540107,152,211,78,0.0390120827734979
"50","NIPBL",45,235,0.191489361702128,190,211,78,0.0361506899419124
"51","NPM1",38,164,0.231707317073171,126,211,78,0.420715896580181
"52","NRM",29,100,0.29,71,211,78,0.739785537766335
"53","NSDHL",33,120,0.275,87,211,78,0.961623643358959
"54","NUP153",18,113,0.15929203539823,95,211,78,0.0197972247976917
"55","NUP98",11,88,0.125,77,211,78,0.00616283610672068
"56","PDPK1",12,186,0.0645161290322581,174,211,78,2.16265553985093e-08
"57","PIN1",35,157,0.222929936305732,122,211,78,0.325592415566686
"58","PLXDC2",18,147,0.122448979591837,129,211,78,0.000471327914305126
"59","PML",23,125,0.184,102,211,78,0.0637989913679588
"60","POMGNT2",20,71,0.28169014084507,51,211,78,0.887834866981651
"61","PPFIBP1",22,115,0.191304347826087,93,211,78,0.103994167969556
"62","PPP2R3A",42,139,0.302158273381295,97,211,78,0.505971292229194
"63","PRKCA",36,185,0.194594594594595,149,211,78,0.0629244950359987
"64","PSMC1",27,132,0.204545454545455,105,211,78,0.157468366281488
"65","PTEN",27,117,0.230769230769231,90,211,78,0.482040787541215
"66","RAB40B",21,115,0.182608695652174,94,211,78,0.067645732943224
"67","RANBP2",24,114,0.210526315789474,90,211,78,0.237002814294702
"68","RASA1",34,112,0.303571428571429,78,211,78,0.560089916844647
"69","RB1",59,184,0.320652173913043,125,211,78,0.242662864234811
"70","RCN1",14,143,0.0979020979020979,129,211,78,4.35476696394676e-05
"71","RFX7",29,118,0.245762711864407,89,211,78,0.731009961777038
"72","RPL22",30,208,0.144230769230769,178,211,78,0.000818979055917596
"73","RTN2",28,200,0.14,172,211,78,0.000607397678748117
"74","S100A4",20,111,0.18018018018018,91,211,78,0.0635097085278975
"75","SCFD2",24,158,0.151898734177215,134,211,78,0.0045198922938318
"76","SCHIP1",36,157,0.229299363057325,121,211,78,0.419937036117192
"77","SEPT7",27,205,0.131707317073171,178,211,78,0.000214388432946435
"78","SIRPG",18,124,0.145161290322581,106,211,78,0.00646889035364531
"79","SMARCA4",68,282,0.24113475177305,214,211,78,0.532595611838286
"80","SPAST",16,105,0.152380952380952,89,211,78,0.0158116791198217
"81","ST8SIA6",38,198,0.191919191919192,160,211,78,0.0516954983574508
"82","STARD10",21,199,0.105527638190955,178,211,78,8.90717455972808e-06
"83","STK11",78,189,0.412698412698413,111,211,78,0.00115413564269959
"84","SULF1",31,141,0.219858156028369,110,211,78,0.30820539144144
"85","SUN1",44,134,0.328358208955224,90,211,78,0.241016611952321
"86","SYNGAP1",32,172,0.186046511627907,140,211,78,0.0421912777233155
"87","TCP1",20,167,0.119760479041916,147,211,78,0.000167229822782203
"88","TEN1",46,185,0.248648648648649,139,211,78,0.653177332785482
"89","TMEM147",17,148,0.114864864864865,131,211,78,0.000201353051607413
"90","TMEM170A",34,163,0.208588957055215,129,211,78,0.161423237046623
"91","TOR1AIP1",32,175,0.182857142857143,143,211,78,0.0333990080843976
"92","TP53",43,199,0.21608040201005,156,211,78,0.196602360304104
"93","TPR",19,133,0.142857142857143,114,211,78,0.00397516126095626
"94","TRMO",17,80,0.2125,63,211,78,0.332922719466252
